airline,review_score,review_date,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,has_layover,pos_neu_neg_review,recommended
Turkish Airlines,8.0,2019-03-12,Solo Leisure,Economy Class,Manila to Vienna via Istanbul,2019-03-01,4.0,3.0,4.0,4.0,4.0,5.0,True,pos,True
Turkish Airlines,4.0,2019-03-12,Solo Leisure,Economy Class,Phuket to Düsseldorf via Istanbul Atatürk,2019-03-01,2.0,3.0,5.0,4.0,2.0,3.0,True,neg,False
Turkish Airlines,8.0,2019-03-10,Couple Leisure,Economy Class,Amsterdam to Istanbul,2019-02-01,2.0,4.0,5.0,5.0,5.0,4.0,False,pos,True
Turkish Airlines,9.0,2019-03-10,Couple Leisure,Economy Class,Istanbul to Ankara,2019-02-01,3.0,5.0,5.0,5.0,5.0,5.0,False,pos,True
Turkish Airlines,8.0,2019-03-08,Solo Leisure,Economy Class,Lyon to Istanbul,2019-02-01,4.0,4.0,4.0,5.0,4.0,5.0,False,pos,True
Turkish Airlines,4.0,2019-03-05,Solo Leisure,Business Class,Dublin to Manila via Istanbul,2019-02-01,3.0,3.0,1.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,1.0,2019-03-04,Solo Leisure,Economy Class,Nairobi to Amsterdam via Istanbul,2019-02-01,2.0,1.0,2.0,2.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2019-03-01,Family Leisure,Economy Class,London to Kabul via Istanbul,2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,5.0,2019-02-28,Solo Leisure,Economy Class,Khartoum to Rome via Istanbul,2019-02-01,3.0,2.0,3.0,3.0,2.0,3.0,True,neu,True
Turkish Airlines,1.0,2019-02-27,Family Leisure,Economy Class,Copenhagen to Cape Town via Istanbul,2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,2.0,2019-02-26,Solo Leisure,Economy Class,Helsinki to Beirut via Istanbul,2019-02-01,3.0,2.0,2.0,3.0,3.0,2.0,True,neg,False
Turkish Airlines,1.0,2019-02-24,Couple Leisure,Economy Class,Malaga to Cape Town via Istanbul,2019-01-01,2.0,2.0,1.0,2.0,1.0,1.0,True,neg,False
Turkish Airlines,4.0,2019-02-20,Business,Business Class,Montreal to Berlin via Istanbul,2019-02-01,4.0,1.0,3.0,3.0,1.0,1.0,True,neg,False
Turkish Airlines,2.0,2019-02-20,Solo Leisure,Economy Class,New York to Dhaka via Istanbul,2018-11-01,3.0,4.0,5.0,4.0,4.0,3.0,True,neg,False
